,EURUSD
02 08 2016,1.11662
03 08 2016,1.12285
04 08 2016,1.11585
05 08 2016,1.1131
06 08 2016,1.109613
07 08 2016,1.10874
08 08 2016,1.10874
09 08 2016,1.1079
10 08 2016,1.1109
11 08 2016,1.117493
12 08 2016,1.1141
13 08 2016,1.116776
14 08 2016,1.116395
15 08 2016,1.116395
16 08 2016,1.118756
17 08 2016,1.12775
18 08 2016,1.12635
19 08 2016,1.1343
20 08 2016,1.131734
21 08 2016,1.1324
22 08 2016,1.133748
23 08 2016,1.132
24 08 2016,1.1319
25 08 2016,1.12744
26 08 2016,1.12795
27 08 2016,1.122083
28 08 2016,1.119614
29 08 2016,1.119244
30 08 2016,1.118944
31 08 2016,1.1138
01 09 2016,1.115337
02 09 2016,1.115765
03 09 2016,1.115748
04 09 2016,1.115598
05 09 2016,1.115449
06 09 2016,1.1152
07 09 2016,1.125492
08 09 2016,1.123596
09 09 2016,1.12545
10 09 2016,1.121189
11 09 2016,1.123242
12 09 2016,1.122965
13 09 2016,1.124101
14 09 2016,1.122725
15 09 2016,1.124859
16 09 2016,1.125239
17 09 2016,1.116246
18 09 2016,1.115729
19 09 2016,1.115648
20 09 2016,1.117318
21 09 2016,1.1161
22 09 2016,1.115698
23 09 2016,1.121501
24 09 2016,1.1237
25 09 2016,1.122246
26 09 2016,1.122246
27 09 2016,1.125892
28 09 2016,1.12246
29 09 2016,1.121152
30 09 2016,1.120825
01 10 2016,1.1237
02 10 2016,1.124177
03 10 2016,1.123349
04 10 2016,1.121076
05 10 2016,1.119194
06 10 2016,1.1206
07 10 2016,1.115947
08 10 2016,1.11657
09 10 2016,1.120247
10 10 2016,1.113567
11 10 2016,1.104972
12 10 2016,1.10265
13 10 2016,1.1051
14 10 2016,1.100715
15 10 2016,1.097123
16 10 2016,1.097051
17 10 2016,1.099868
18 10 2016,1.099088
19 10 2016,1.096491
20 10 2016,1.09415
21 10 2016,1.087311
22 10 2016,1.088548
23 10 2016,1.088548
24 10 2016,1.08775
25 10 2016,1.088945
26 10 2016,1.091447
27 10 2016,1.088613
28 10 2016,1.094212
29 10 2016,1.098587
30 10 2016,1.09875
31 10 2016,1.096251
01 11 2016,1.105339
02 11 2016,1.111741
03 11 2016,1.109385
04 11 2016,1.112174
05 11 2016,1.114125
06 11 2016,1.113846
07 11 2016,1.103996
08 11 2016,1.103509
09 11 2016,1.094349
10 11 2016,1.08706
11 11 2016,1.084363
12 11 2016,1.085706
13 11 2016,1.085706
14 11 2016,1.07235
15 11 2016,1.072955
16 11 2016,1.06969
17 11 2016,1.0653
18 11 2016,1.059375
19 11 2016,1.058879
20 11 2016,1.059047
21 11 2016,1.0596
22 11 2016,1.061718
23 11 2016,1.055966
24 11 2016,1.056412
25 11 2016,1.06
26 11 2016,1.059401
27 11 2016,1.059148
28 11 2016,1.058201
29 11 2016,1.061684
30 11 2016,1.057753
01 12 2016,1.062925
02 12 2016,1.0666
03 12 2016,1.066399
04 12 2016,1.06665
05 12 2016,1.072156
06 12 2016,1.073364
07 12 2016,1.0757
08 12 2016,1.0621
09 12 2016,1.054074
10 12 2016,1.055883
11 12 2016,1.05615
12 12 2016,1.060378
13 12 2016,1.063717
14 12 2016,1.065644
15 12 2016,1.036914
16 12 2016,1.04712
17 12 2016,1.045353
18 12 2016,1.045353
19 12 2016,1.044823
20 12 2016,1.038529
21 12 2016,1.042427
22 12 2016,1.044932
23 12 2016,1.044932
24 12 2016,1.045752
25 12 2016,1.045752
26 12 2016,1.044899
27 12 2016,1.045697
28 12 2016,1.038961
29 12 2016,1.048652
30 12 2016,1.055409
31 12 2016,1.051851
01 01 2017,1.051851
02 01 2017,1.047011
03 01 2017,1.041341
04 01 2017,1.04723
05 01 2017,1.059782
06 01 2017,1.055409
07 01 2017,1.053275
08 01 2017,1.053147
09 01 2017,1.057306
10 01 2017,1.057027
11 01 2017,1.051635
12 01 2017,1.066411
13 01 2017,1.06253
14 01 2017,1.064232
15 01 2017,1.064453
16 01 2017,1.060069
17 01 2017,1.069484
18 01 2017,1.068479
19 01 2017,1.06335
20 01 2017,1.068062
21 01 2017,1.070251
22 01 2017,1.070251
23 01 2017,1.07416
24 01 2017,1.075228
25 01 2017,1.07498
26 01 2017,1.066485
27 01 2017,1.069347
28 01 2017,1.069765
29 01 2017,1.069954
30 01 2017,1.068936
31 01 2017,1.079086
01 02 2017,1.07565
02 02 2017,1.079949
03 02 2017,1.078894
04 02 2017,1.078644
05 02 2017,1.07865
06 02 2017,1.073537
07 02 2017,1.06905
08 02 2017,1.070366
09 02 2017,1.065735
10 02 2017,1.064419
11 02 2017,1.064135
12 02 2017,1.064152
13 02 2017,1.05975
14 02 2017,1.057451
15 02 2017,1.060288
16 02 2017,1.066206
17 02 2017,1.062141
18 02 2017,1.061656
19 02 2017,1.061453
20 02 2017,1.062112
21 02 2017,1.054741
22 02 2017,1.05413
23 02 2017,1.058369
24 02 2017,1.057955
25 02 2017,1.056251
26 02 2017,1.056251
27 02 2017,1.06295
28 02 2017,1.062005
01 03 2017,1.056652
02 03 2017,1.051359
03 03 2017,1.055353
04 03 2017,1.06231
05 03 2017,1.062349
06 03 2017,1.058268
07 03 2017,1.058033
08 03 2017,1.054875
09 03 2017,1.058369
10 03 2017,1.067373
11 03 2017,1.067492
12 03 2017,1.067247
13 03 2017,1.066667
14 03 2017,1.063841
15 03 2017,1.06383
16 03 2017,1.073653
17 03 2017,1.07446
18 03 2017,1.073849
19 03 2017,1.074449
20 03 2017,1.073843
21 03 2017,1.081479
22 03 2017,1.080672
23 03 2017,1.078725
24 03 2017,1.08059
25 03 2017,1.08055
26 03 2017,1.08055
27 03 2017,1.086768
28 03 2017,1.083964
29 03 2017,1.07557
30 03 2017,1.071473
31 03 2017,1.069599
02 04 2017,1.066451
03 04 2017,1.066462
04 04 2017,1.066217
05 04 2017,1.064623
06 04 2017,1.06511
07 04 2017,1.060074
08 04 2017,1.059058
09 04 2017,1.059058
10 04 2017,1.060333
11 04 2017,1.060952
12 04 2017,1.060586
13 04 2017,1.062891
14 04 2017,1.062078
15 04 2017,1.061228
16 04 2017,1.061351
17 04 2017,1.06519
18 04 2017,1.070412
19 04 2017,1.071065
20 04 2017,1.074835
21 04 2017,1.068907
22 04 2017,1.072582
23 04 2017,1.072651
24 04 2017,1.08445
25 04 2017,1.094787
26 04 2017,1.087548
27 04 2017,1.087559
28 04 2017,1.089972
29 04 2017,1.089604
30 04 2017,1.08955
01 05 2017,1.090673
02 05 2017,1.090798
04 05 2017,1.097069
05 05 2017,1.098931
06 05 2017,1.099947
07 05 2017,1.099947
08 05 2017,1.093374
09 05 2017,1.087737
10 05 2017,1.086779
11 05 2017,1.086484
12 05 2017,1.091739
13 05 2017,1.093159
14 05 2017,1.09335
15 05 2017,1.09735
16 05 2017,1.107555
17 05 2017,1.113363
18 05 2017,1.112434
20 05 2017,1.120743
21 05 2017,1.12075
22 05 2017,1.123293
23 05 2017,1.119269
24 05 2017,1.117818
25 05 2017,1.121755
26 05 2017,1.117581
27 05 2017,1.118356
28 05 2017,1.118356
29 05 2017,1.117905
30 05 2017,1.117293
31 05 2017,1.123444
01 06 2017,1.120837
02 06 2017,1.126837
03 06 2017,1.128452
04 06 2017,1.128452
05 06 2017,1.125328
06 06 2017,1.127154
07 06 2017,1.126012
08 06 2017,1.121013
09 06 2017,1.119884
10 06 2017,1.119614
11 06 2017,1.119345
12 06 2017,1.119971
13 06 2017,1.120034
14 06 2017,1.126761
15 06 2017,1.11479
16 06 2017,1.118919
17 06 2017,1.118556
18 06 2017,1.118556
19 06 2017,1.115692
20 06 2017,1.112718
21 06 2017,1.114579
22 06 2017,1.115325
23 06 2017,1.11957
24 06 2017,1.119376
25 06 2017,1.119345
26 06 2017,1.118919
27 06 2017,1.130998
28 06 2017,1.137948
29 06 2017,1.143073
30 06 2017,1.14109
01 07 2017,1.142746
02 07 2017,1.142746
03 07 2017,1.13557
04 07 2017,1.134687
05 07 2017,1.133832
06 07 2017,1.141442
07 07 2017,1.14085
08 07 2017,1.140147
09 07 2017,1.140153
10 07 2017,1.139582
11 07 2017,1.144263
12 07 2017,1.141683
13 07 2017,1.138868
14 07 2017,1.145443
15 07 2017,1.146967
16 07 2017,1.146967
17 07 2017,1.147348
18 07 2017,1.156203
19 07 2017,1.151921
20 07 2017,1.16345
21 07 2017,1.166963
22 07 2017,1.166154
23 07 2017,1.166154
24 07 2017,1.163731
25 07 2017,1.165372
26 07 2017,1.162716
27 07 2017,1.166793
28 07 2017,1.174398
29 07 2017,1.175447
30 07 2017,1.175447
31 07 2017,1.180937
01 08 2017,1.180338
02 08 2017,1.186739
03 08 2017,1.186944
04 08 2017,1.175123
05 08 2017,1.177329
06 08 2017,1.177454
07 08 2017,1.179002
08 08 2017,1.17242
09 08 2017,1.1748
10 08 2017,1.17507
11 08 2017,1.181858
12 08 2017,1.181949
13 08 2017,1.181949
14 08 2017,1.179252
15 08 2017,1.173509
16 08 2017,1.169515
17 08 2017,1.174722
18 08 2017,1.174916
19 08 2017,1.176042
20 08 2017,1.176152
21 08 2017,1.182264
23 08 2017,1.180185
24 08 2017,1.180833
25 08 2017,1.188234
26 08 2017,1.192222
27 08 2017,1.192556
28 08 2017,1.197641
29 08 2017,1.201714
30 08 2017,1.18986
31 08 2017,1.187648
01 09 2017,1.187247
02 09 2017,1.186127
03 09 2017,1.186247
04 09 2017,1.190441
05 09 2017,1.190618
06 09 2017,1.193018
07 09 2017,1.19953
08 09 2017,1.203608
09 09 2017,1.203471
10 09 2017,1.203753
11 09 2017,1.196673
12 09 2017,1.196158
13 09 2017,1.188538
14 09 2017,1.188276
15 09 2017,1.194344
16 09 2017,1.194657
17 09 2017,1.19455
18 09 2017,1.193132
19 09 2017,1.196809
20 09 2017,1.200559
21 09 2017,1.19403
22 09 2017,1.194108
23 09 2017,1.194765
24 09 2017,1.19505
25 09 2017,1.184834
26 09 2017,1.178599
27 09 2017,1.175275
28 09 2017,1.178557
29 09 2017,1.180338
30 09 2017,1.17415
01 10 2017,1.181747
02 10 2017,1.17464
03 10 2017,1.175344
04 10 2017,1.176394
05 10 2017,1.170761
06 10 2017,1.172422
07 10 2017,1.173351
08 10 2017,1.173351
09 10 2017,1.174888
10 10 2017,1.180073
11 10 2017,1.184413
12 10 2017,1.184273
14 10 2017,1.182026
15 10 2017,1.182152
16 10 2017,1.180944
17 10 2017,1.174902
18 10 2017,1.178821
19 10 2017,1.183068
20 10 2017,1.177731
21 10 2017,1.178502
22 10 2017,1.178148
23 10 2017,1.17455
24 10 2017,1.176547
25 10 2017,1.180805
26 10 2017,1.16849
27 10 2017,1.158997
28 10 2017,1.16082
29 10 2017,1.161049
30 10 2017,1.163603
31 10 2017,1.165352
01 11 2017,1.16246
02 11 2017,1.166052
03 11 2017,1.160362
04 11 2017,1.160732
05 11 2017,1.161953
06 11 2017,1.159965
07 11 2017,1.157387
08 11 2017,1.159037
09 11 2017,1.164802
10 11 2017,1.165481
11 11 2017,1.16648
12 11 2017,1.16648
13 11 2017,1.165834
14 11 2017,1.176561
15 11 2017,1.179336
16 11 2017,1.177406
17 11 2017,1.179051
18 11 2017,1.179148
19 11 2017,1.179551
20 11 2017,1.174122
21 11 2017,1.174364
22 11 2017,1.17846
23 11 2017,1.18475
24 11 2017,1.193552
25 11 2017,1.193154
26 11 2017,1.193154
27 11 2017,1.191277
28 11 2017,1.188072
29 11 2017,1.186331
30 11 2017,1.190597
01 12 2017,1.191789
02 12 2017,1.189726
03 12 2017,1.189153
04 12 2017,1.185108
05 12 2017,1.181607
06 12 2017,1.178627
07 12 2017,1.178905
08 12 2017,1.176478
09 12 2017,1.176554
11 12 2017,1.179899
