Date,Open,High,Low,Close,Volume
2013-05-06,3909.489990,3915.590088,3897.729980,3907.040039,47146400
2013-05-07,3915.379883,3940.580078,3904.899902,3921.320068,105486400
2013-05-08,3924.000000,3957.060059,3919.189941,3956.280029,85164600
2013-05-09,3927.120117,3941.810059,3909.000000,3928.580078,64145400
2013-05-10,3932.429932,3971.919922,3930.360107,3953.830078,94890400
2013-05-13,3948.330078,3961.659912,3933.320068,3945.199951,75023600
2013-05-14,3949.899902,3966.060059,3922.199951,3966.060059,89435600
2013-05-15,3959.040039,3983.050049,3950.570068,3982.229980,93773200
2013-05-16,3967.699951,3984.280029,3957.770020,3979.070068,93967400
2013-05-17,3968.409912,4018.840088,3962.310059,4001.270020,148916000
2013-05-20,4005.790039,4022.850098,3993.120117,4022.850098,61728800
2013-05-21,4009.840088,4036.179932,3991.379883,4036.179932,87155000
2013-05-22,4036.489990,4058.729980,4009.260010,4051.110107,92980000
2013-05-23,3955.979980,3983.719971,3940.290039,3967.149902,127183600
2013-05-24,3982.260010,3997.129883,3942.060059,3956.790039,60558800
2013-05-27,3979.149902,3998.050049,3976.409912,3995.159912,39186400
2013-05-28,4005.830078,4072.239990,4004.270020,4050.560059,99488800
2013-05-29,4024.760010,4028.770020,3970.459961,3974.120117,91563600
2013-05-30,3964.500000,4018.969971,3963.689941,3996.310059,84607200
2013-05-31,3992.350098,3995.790039,3938.189941,3948.590088,133511800
2013-06-03,3929.679932,3979.530029,3889.439941,3920.669922,93646600
2013-06-04,3950.000000,3962.419922,3919.669922,3925.830078,75275800
2013-06-05,3903.590088,3915.709961,3852.439941,3852.439941,98550400
2013-06-06,3861.239990,3877.959961,3814.280029,3814.280029,92674800
2013-06-07,3821.070068,3889.550049,3800.850098,3872.590088,102233400
2013-06-10,3864.080078,3884.639893,3853.879883,3864.360107,67885400
2013-06-11,3847.000000,3849.360107,3780.389893,3810.560059,106952600
2013-06-12,3805.149902,3835.489990,3791.709961,3793.699951,82900600
2013-06-13,3747.649902,3804.250000,3731.840088,3797.979980,104036400
2013-06-14,3823.199951,3830.689941,3793.500000,3805.159912,77729800
2013-06-17,3815.439941,3882.879883,3814.610107,3863.659912,88895600
2013-06-18,3848.979980,3870.870117,3837.040039,3860.550049,75693000
2013-06-19,3866.149902,3868.399902,3823.649902,3839.340088,84862200
2013-06-20,3778.330078,3783.199951,3696.449951,3698.929932,143397400
2013-06-21,3718.929932,3744.250000,3658.040039,3658.040039,170441400
2013-06-24,3652.520020,3668.110107,3575.169922,3595.629883,133725200
2013-06-25,3642.570068,3655.620117,3618.580078,3649.820068,105236600
2013-06-26,3655.389893,3730.689941,3637.729980,3726.040039,109058400
2013-06-27,3722.409912,3780.560059,3704.179932,3762.189941,97420600
2013-06-28,3767.489990,3775.340088,3723.659912,3738.909912,118744800
2013-07-01,3761.570068,3786.409912,3724.530029,3767.479980,88607000
2013-07-02,3776.199951,3776.409912,3731.030029,3742.570068,77200400
2013-07-03,3708.290039,3708.909912,3668.770020,3702.010010,105048400
2013-07-04,3733.780029,3809.820068,3722.790039,3809.310059,111232600
2013-07-05,3811.169922,3837.389893,3753.850098,3753.850098,98157600
2013-07-08,3782.120117,3842.510010,3781.510010,3823.830078,76401000
2013-07-09,3840.659912,3858.540039,3832.159912,3843.560059,89875000
2013-07-10,3841.040039,3855.189941,3812.030029,3840.530029,73308600
