<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20110413,5964.50,6043.40,5964.50,6010.40,700979400
20110414,6010.40,6010.50,5943.80,5963.80,667918200
20110415,5963.80,5996.80,5963.50,5996.00,771907000
20110418,5996.00,5997.50,5858.30,5870.10,872742400
20110419,5870.10,5922.20,5870.10,5896.90,625044000
20110420,5896.90,6033.80,5896.90,6022.30,706493200
20110421,6022.30,6049.40,6005.80,6018.30,739317000
20110426,6018.30,6070.60,6007.00,6069.40,553639200
20110427,6069.40,6089.40,6045.90,6068.20,707283800
20110428,6068.20,6091.80,6051.00,6069.90,741068000
20110503,6069.90,6103.70,6050.70,6082.90,809722200
20110504,6082.90,6083.80,5972.80,5984.10,1002877000
20110505,5984.10,6009.10,5912.60,5920.00,1597409700
20110506,5920.00,5984.90,5871.60,5976.80,1162112100
20110509,5976.80,5999.90,5922.20,5942.70,803357200
20110510,5942.70,6023.10,5940.10,6018.90,835132600
20110511,6018.90,6040.20,5965.30,5976.00,823139400
20110512,5976.00,5976.40,5882.40,5945.00,868796400
20110513,5945.00,6001.30,5919.90,5925.90,705255000
20110516,5925.90,5936.20,5862.20,5923.70,686694200
20110517,5923.70,5942.80,5861.00,5861.00,756848800
20110518,5861.00,5934.50,5860.60,5923.50,702325400
20110519,5923.50,6003.90,5923.50,5956.00,849895800
20110520,5956.00,6017.60,5927.70,5948.50,897899600
20110523,5948.50,5948.50,5833.40,5835.90,853749200
20110524,5835.90,5884.70,5835.90,5858.40,985312200
20110525,5858.40,5881.20,5810.50,5870.10,916829200
20110526,5870.10,5910.80,5866.70,5881.00,868336800
20110527,5881.00,5951.40,5881.00,5938.90,799337800
20110531,5938.90,6010.00,5938.90,5990.00,967043400
20110601,5990.00,5995.20,5911.70,5928.60,832047200
20110602,5928.60,5928.60,5847.90,5847.90,980195200
20110603,5847.90,5868.20,5802.70,5855.00,840519800
20110606,5855.00,5881.10,5827.50,5863.20,650699800
20110607,5863.20,5890.60,5849.20,5864.60,792266800
20110608,5864.60,5864.60,5791.80,5808.90,848385000
20110609,5808.90,5861.20,5795.00,5856.30,854850800
20110610,5856.30,5867.00,5758.30,5765.80,786839200
20110613,5765.80,5793.80,5763.40,5773.50,643227200
20110614,5773.50,5822.60,5773.50,5803.10,811563000
20110615,5803.10,5803.40,5742.50,5742.50,807145200
20110616,5742.50,5742.50,5644.40,5698.80,1040114400
20110617,5698.80,5733.20,5645.00,5714.90,1215422700
20110620,5714.90,5714.90,5647.20,5693.40,746606400
20110621,5693.40,5778.10,5693.00,5775.30,745714800
20110622,5775.30,5789.10,5741.80,5773.00,756880600
20110623,5773.00,5773.00,5663.30,5674.40,893970600
20110624,5674.40,5768.50,5674.40,5697.70,1037392500
20110627,5697.70,5728.40,5679.60,5722.30,836747000
20110628,5722.30,5795.10,5722.30,5766.90,810367200
20110629,5766.90,5860.90,5766.90,5856.00,908814800
20110630,5856.00,5945.70,5856.00,5945.70,1221084400
20110701,5945.70,5999.00,5937.00,5989.80,871319600
20110704,5989.80,6030.80,5985.70,6017.50,469993600
20110705,6017.50,6036.30,6011.10,6024.00,656222400
20110706,6024.00,6026.50,5973.80,6002.90,817116200
20110707,6002.90,6071.70,6002.90,6054.50,834549600
20110708,6054.50,6084.10,5981.70,5990.60,781326400
20110711,5990.60,5998.60,5900.80,5929.20,854847000
20110712,5929.20,5929.20,5793.00,5869.00,1086509600
20110713,5869.00,5911.00,5851.00,5906.40,830813000
20110714,5906.40,5906.40,5841.20,5847.00,715968200
20110715,5847.00,5863.60,5806.00,5843.70,693411600
20110718,5843.70,5843.70,5752.80,5752.80,848623000
20110719,5752.80,5802.00,5752.80,5790.00,912096000
20110720,5790.00,5856.40,5790.00,5853.80,900376400
20110721,5853.80,5934.30,5797.50,5899.90,1051054100
20110722,5899.90,5966.80,5899.90,5935.00,874525200
20110725,5935.00,5938.50,5892.60,5925.30,645911000
20110726,5925.30,5951.30,5895.60,5929.70,631694600
20110727,5929.70,5932.00,5841.00,5856.60,777353400
20110728,5856.60,5882.60,5801.60,5873.20,753571000
20110729,5873.20,5873.20,5772.40,5815.20,1015003300
20110801,5815.20,5913.50,5767.10,5774.40,866071000
20110802,5774.40,5778.90,5705.30,5718.40,995746800
20110803,5718.40,5718.40,5557.70,5584.50,1094346700
20110804,5584.50,5644.00,5393.10,5393.10,1428457000
20110805,5393.10,5393.10,5202.60,5247.00,2046569200
20110808,5247.00,5295.80,5062.40,5069.00,1576389500
20110809,5069.00,5175.60,4791.00,5164.90,2039085000
20110810,5164.90,5262.70,4990.80,5007.20,1649746200
20110811,5007.20,5172.70,4943.00,5162.80,1455126300
20110812,5162.80,5320.00,5099.30,5320.00,1024505100
20110815,5320.00,5377.20,5319.40,5350.60,695636400
20110816,5350.60,5362.10,5265.80,5357.60,725087400
20110817,5357.60,5371.10,5279.90,5331.60,679948200
20110818,5331.60,5331.60,5041.60,5092.20,1185417000
20110819,5092.20,5107.90,4929.50,5040.80,1547151900
20110822,5040.80,5183.00,4993.30,5095.30,857260000
20110823,5095.30,5193.20,5076.70,5129.40,904652200
20110824,5129.40,5250.60,5098.10,5205.90,909123400
